Execution_RealTime,Start_Trade_Time,End_Trade_Time,Total_Trades,Total_Pips,Profit_JPY,Final_Balance,Win_Rate,Risk_Reward,PF,Win_Streaks,Loss_Streaks
2025-12-29 12:48:29,2009-03-16 07:00:00,2009-09-09 21:00:00,19,-981.1,-182754.0,1317246.0,0.0,,0.0,0,19
2025-12-29 16:14:24,2008-02-16 04:00:00,2008-02-29 18:00:00,7,426.4,63960.0,1563960.0,57.1,4.3,5.73,2,2
2025-12-30 19:46:24,2006-03-17 21:00:00,2006-04-19 10:00:00,13,262.4,39360.0,1539360.0,15.4,11.09,2.02,1,8
2025-12-30 20:24:21,2013-08-15 20:00:00,2013-10-03 14:00:00,20,124.3,18645.0,1518645.0,20.0,5.26,1.32,1,8
2025-12-30 20:33:49,2010-09-06 19:00:00,2010-09-22 08:00:00,6,-263.9,-39585.0,1460415.0,0.0,,0.0,0,6
2025-12-31 08:18:06,2013-01-16,2013-02-22 04:00:00,14,-184.4,-27660.0,1472340.0,21.4,1.97,0.54,1,6
2025-12-31 08:42:10,2014-01-16 04:00:00,2014-05-09 01:00:00,16,255.2,38280.0,1538280.0,18.8,7.41,1.71,1,9
2025-12-31 10:40:27,2012-09-17 07:00:00,2012-12-21 11:00:00,10,552.3,82845.0,1582845.0,30.0,8.68,3.72,2,6
2025-12-31 12:58:21,2015-01-16 04:00:00,2015-01-26 12:00:00,5,215.7,32355.0,1532355.0,60.0,2.68,4.02,2,2
2025-12-31 15:40:59,2019-01-15 22:00:00,2019-01-17 16:00:00,3,-96.0,-14400.0,1485600.0,0.0,,0.0,0,3
